Wikidata_URI15	id	city_name	DBpedia_URI	rating	label	DBpedia_URI15	YAGO_URI15	DBpedia_URI15_Base32
http://www.wikidata.org/entity/Q24639	1.0	Vancouver	http://dbpedia.org/resource/Vancouver	106.0	high	http://dbpedia.org/resource/Vancouver	http://yago-knowledge.org/resource/Vancouver	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VTBNZRW65LWMVZA====
http://www.wikidata.org/entity/Q72	2.0	Zurich	http://dbpedia.org/resource/Zurich	106.0	high	http://dbpedia.org/resource/Zürich		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6WWDXRZGSY3I
http://www.wikidata.org/entity/Q1741	3.0	Vienna	http://dbpedia.org/resource/Vienna	106.0	high	http://dbpedia.org/resource/Vienna	http://yago-knowledge.org/resource/Vienna	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VTJMVXG4YI=
http://www.wikidata.org/entity/Q70	4.0	Bern	http://dbpedia.org/resource/Bern	106.0	high	http://dbpedia.org/resource/Bern	http://yago-knowledge.org/resource/Bern	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTFOJXA====
http://www.wikidata.org/entity/Q3130	5.0	Sydney	http://dbpedia.org/resource/Sydney	105.5	high	http://dbpedia.org/resource/Sydney	http://yago-knowledge.org/resource/Sydney	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3ZMRXGK6I=
http://www.wikidata.org/entity/Q71	6.0	Geneva	http://dbpedia.org/resource/Geneva	105.5	high	http://dbpedia.org/resource/Geneva	http://yago-knowledge.org/resource/Geneva	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6R3FNZSXMYI=
http://www.wikidata.org/entity/Q37100	7.0	Auckland	http://dbpedia.org/resource/Auckland	105.5	high	http://dbpedia.org/resource/Auckland	http://yago-knowledge.org/resource/Auckland	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLVMNVWYYLOMQ======
http://www.wikidata.org/entity/Q1748	8.0	Copenhagen	http://dbpedia.org/resource/Copenhagen	105.5	high	http://dbpedia.org/resource/Copenhagen	http://yago-knowledge.org/resource/Copenhagen	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3POBSW42DBM5SW4===
http://www.wikidata.org/entity/Q1757	9.0	Helsinki	http://dbpedia.org/resource/Helsinki	104.5	high	http://dbpedia.org/resource/Helsinki	http://yago-knowledge.org/resource/Helsinki	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDFNRZWS3TLNE======
http://www.wikidata.org/entity/Q727	10.0	Amsterdam	http://dbpedia.org/resource/Amsterdam	104.5	high	http://dbpedia.org/resource/Amsterdam	http://yago-knowledge.org/resource/Amsterdam	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLNON2GK4TEMFWQ====
http://www.wikidata.org/entity/Q1794	11.0	Frankfurt	http://dbpedia.org/resource/Frankfurt	104.0	high	http://dbpedia.org/resource/Frankfurt	http://yago-knowledge.org/resource/Frankfurt	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6RTSMFXGWZTVOJ2A====
http://www.wikidata.org/entity/Q1726	12.0	Munich	http://dbpedia.org/resource/Munich	104.0	high	http://dbpedia.org/resource/Munich	http://yago-knowledge.org/resource/Munich	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TLVNZUWG2A=
http://www.wikidata.org/entity/Q3141	13.0	Melbourne	http://dbpedia.org/resource/Melbourne	104.0	high	http://dbpedia.org/resource/Melbourne	http://yago-knowledge.org/resource/Melbourne	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TLFNRRG65LSNZSQ====
http://www.wikidata.org/entity/Q18094	14.0	Honolulu	http://dbpedia.org/resource/Honolulu	104.0	high	http://dbpedia.org/resource/Honolulu	http://yago-knowledge.org/resource/Honolulu	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDPNZXWY5LMOU======
http://www.wikidata.org/entity/Q1718	15.0	Dusseldorf	http://dbpedia.org/resource/Dusseldorf	103.5	high	http://dbpedia.org/resource/Düsseldorf		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6RGDXRZXGZLMMRXXEZQ=
http://www.wikidata.org/entity/Q62	16.0	San Francisco	http://dbpedia.org/resource/San_Francisco	103.5	high	http://dbpedia.org/resource/San_Francisco	http://yago-knowledge.org/resource/San_Francisco	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3BNZPUM4TBNZRWS43DN4======
http://www.wikidata.org/entity/Q585	17.0	Oslo	http://dbpedia.org/resource/Oslo	103.5	high	http://dbpedia.org/resource/Oslo	http://yago-knowledge.org/resource/Oslo	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6T3TNRXQ====
http://www.wikidata.org/entity/Q3183	18.0	Perth	http://dbpedia.org/resource/Perth	103.5	high	http://dbpedia.org/resource/Perth		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6UDFOJ2GQ===
http://www.wikidata.org/entity/Q240	19.0	Brussels	http://dbpedia.org/resource/Brussels	103.5	high	http://dbpedia.org/resource/Brussels	http://yago-knowledge.org/resource/Brussels	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTSOVZXGZLMOM======
http://www.wikidata.org/entity/Q172	20.0	Toronto	http://dbpedia.org/resource/Toronto	103.5	high	http://dbpedia.org/resource/Toronto	http://yago-knowledge.org/resource/Toronto	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VDPOJXW45DP
http://www.wikidata.org/entity/Q5112	21.0	Adelaide	http://dbpedia.org/resource/Adelaide	103.0	high	http://dbpedia.org/resource/Adelaide	http://yago-knowledge.org/resource/Adelaide	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLEMVWGC2LEMU======
http://www.wikidata.org/entity/Q32	22.0	Luxembourg	http://dbpedia.org/resource/Luxembourg	103.0	high	http://dbpedia.org/resource/Luxembourg	http://yago-knowledge.org/resource/Luxembourg	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TDVPBSW2YTPOVZGO===
http://www.wikidata.org/entity/Q1754	23.0	Stockholm	http://dbpedia.org/resource/Stockholm	103.0	high	http://dbpedia.org/resource/Stockholm	http://yago-knowledge.org/resource/Stockholm	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3UN5RWW2DPNRWQ====
http://www.wikidata.org/entity/Q90	24.0	Paris	http://dbpedia.org/resource/Paris	102.5	high	http://dbpedia.org/resource/Paris	http://yago-knowledge.org/resource/Paris	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6UDBOJUXG===
http://www.wikidata.org/entity/Q2090	25.0	Nurnberg	http://dbpedia.org/resource/Nurnberg	102.5	high	http://dbpedia.org/resource/Nuremberg	http://yago-knowledge.org/resource/Nuremberg	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TTVOJSW2YTFOJTQ====
http://www.wikidata.org/entity/Q34932	26.0	Brisbane	http://dbpedia.org/resource/Brisbane	102.5	high	http://dbpedia.org/resource/Brisbane	http://yago-knowledge.org/resource/Brisbane	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTSNFZWEYLOMU======
http://www.wikidata.org/entity/Q340	27.0	Montreal	http://dbpedia.org/resource/Montreal	102.5	high	http://dbpedia.org/resource/Montreal	http://yago-knowledge.org/resource/Montreal	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TLPNZ2HEZLBNQ======
http://www.wikidata.org/entity/Q1490	28.0	Tokyo	http://dbpedia.org/resource/Tokyo	102.5	high	http://dbpedia.org/resource/Tokyo	http://yago-knowledge.org/resource/Tokyo	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VDPNN4W6===
http://www.wikidata.org/entity/Q64	29.0	Berlin	http://dbpedia.org/resource/Berlin	102.0	high	http://dbpedia.org/resource/Berlin	http://yago-knowledge.org/resource/Berlin	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTFOJWGS3Q=
http://www.wikidata.org/entity/Q1055	30.0	Hamburg	http://dbpedia.org/resource/Hamburg	102.0	high	http://dbpedia.org/resource/Hamburg	http://yago-knowledge.org/resource/Hamburg	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDBNVRHK4TH
http://www.wikidata.org/entity/Q23661	31.0	Wellington	http://dbpedia.org/resource/Wellington	102.0	high	http://dbpedia.org/resource/Wellington	http://yago-knowledge.org/resource/Wellington	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6V3FNRWGS3THORXW4===
